account,situs,subdivision,acres,assessor_acres,total_value,jurisdiction,zone_code,zone_plain,zone_category,mf_threat,bucket,flu_source,flu_designation,flu_plain,flu_intent,dist_mi,compactness,contig_group,contig_group_acres,contig_group_parcels,lat,lon,interest,legal
S1036212450,4800 S FEDERAL WAY,3N 2E 36,13.0342,13.063,3414100,City of Boise,MX-3,Boise Mixed-Use Regional,Mixed Use,High,Vacant Land,Boise,Industrial,Industrial,non-residential,1.349,0.493,13,108.78,8,43.55879,-116.164329,158.1,PAR #2450 OF NE4NW4 SEC 36 3N 2E #212410-B
S1609234000,E COLUMBIA RD,2N 3E 09,27.9843,28,5040000,City of Boise,R-2,Two-Family / Low-Density,Two-Family / Low-Density Residential,Medium,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),2.282,0.572,3,1305.42,35,43.524861,-116.112032,155.4,PAR #4000 OF SW4NW4 SEC 9 2N 3E #231175-B
S1608233600,E COLUMBIA RD,2N 3E 08,59.5919,59.785,15625400,City of Boise,I-3,Boise Industrial (heavy),Industrial / Business Park,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),1.473,0.753,3,1305.42,35,43.525676,-116.131864,142.1,PAR #3600 SW4NW4 N2NW4SW4 SEC 8 2N 3E #233300-B
S1608325400,E COLUMBIA RD,2N 3E 08,19.8394,19.785,5171000,City of Boise,I-3,Boise Industrial (heavy),Industrial / Business Park,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),1.72,0.699,3,1305.42,35,43.521159,-116.131859,141.6,PAR #5400 S2NW4SW4 SEC 8 2N 3E #233300-S #96038595
S1608314800,E COLUMBIA RD,2N 3E 08,119.2027,119.22,15579700,City of Boise,I-3,Boise Industrial (heavy),Industrial / Business Park,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),1.871,0.588,3,1305.42,35,43.521165,-116.126908,141.3,PAR #4800 SE4NW4 E2SE4 SEC 8 2N 3E #243800-S
S1608336000,E COLUMBIA RD,2N 3E 08,39.8014,39.77,10394300,City of Boise,I-3,Boise Industrial (heavy),Industrial / Business Park,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),1.879,0.785,3,1305.42,35,43.51844,-116.131857,141.2,SW4SW4 SEC 8 2N 3E #95075533 #330000 R
S1608427800,5051 E COLUMBIA RD,2N 3E 08,119.4069,119.51,15617600,City of Boise,I-3,Boise Industrial (heavy),Industrial / Business Park,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),1.998,0.588,3,1305.42,35,43.522068,-116.121954,141.0,W2SE4 & SW4NE4 SEC 08 2N 3E PAR B ROS 13736 #131200-S #417800-C #438400-C
S1608141800,S AMBER RIDGE AVE,2N 3E 08,39.8101,39.85,5207600,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),2.057,0.785,3,1305.42,35,43.525243,-116.117,140.9,SE4NE4 SEC 08 2N 3E PAR A ROS 13736 #131200-S
S1604223300,5901 E LAKE FOREST DR,2N 3E 04,24.9252,24.94,0,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),2.092,0.304,2,1678.71,21,43.542077,-116.109426,140.8,PAR #3300 OF N2 SEC 04 & OF GOV LOT 01 SEC 05 2N 3E R/S 8229
S1608417250,E COLUMBIA RD,2N 3E 08,39.7905,39.815,5203000,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),2.186,0.785,3,1305.42,35,43.522074,-116.116996,140.6,NE4SE4 SEC 8 2N 3E #417200-B
S1609233900,E COLUMBIA RD,2N 3E 09,1.9956,2,360000,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),2.199,0.783,3,1305.42,35,43.526219,-116.112867,140.6,PAR #3900 OF SW4NW4 SEC 9 2N 3E #231175-S
R5350490060,6001 E COLUMBIA RD,LUCKY PEAK SUB,9.6943,9.71,336800,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),2.287,0.512,3,1305.42,35,43.529234,-116.108921,140.4,LOT 4 EXC R/W LUCKY PEAK SUB #9231184
R5350490040,E COLUMBIA RD,LUCKY PEAK SUB,9.7382,9.75,295000,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),2.344,0.51,3,1305.42,35,43.529263,-116.107676,140.3,LOT 3 LUCKY PEAK SUB
R5350490020,6225 E COLUMBIA RD,LUCKY PEAK SUB,9.7635,9.75,164700,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),2.402,0.511,3,1305.42,35,43.529273,-116.10643,140.2,LOT 2 LUCKY PEAK SUB #9233038
R5350490000,E COLUMBIA RD,LUCKY PEAK SUB,9.729,9.75,164700,Ada County,RUT,County Rural-Urban Transition,Agricultural / Rural,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),2.442,0.51,3,1305.42,35,43.530038,-116.105184,140.1,LOT 1 LUCKY PEAK SUB #95095793
S1609244200,E COLUMBIA RD,2N 3E 09,39.8354,39.871,7176800,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),2.487,0.783,3,1305.42,35,43.525246,-116.107056,140.0,PAR #4200 POR NW4 SEC 9 2N 3E #241250-B
S1604131350,E HWY 21,2N 3E 04,100.9448,90.57,0,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),2.544,0.564,2,1678.71,21,43.539732,-116.100479,139.9,PAR #1350 OF E2 SEC 4 2N 3E
S1609131525,E COLUMBIA RD,2N 3E 09,18.2287,18.202,3276400,City of Boise,R-1C,Boise Single-Family (compact),Single-Family Residential,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),2.676,0.47,3,1305.42,35,43.525419,-116.102755,139.6,PAR #1525 OF SW4 NE4 SEC 09 2N 3E #131517-B
S1604449060,7198 E COLUMBIA RD,2N 3E 04,13.6104,13.623,0,City of Boise,A-1,Boise Open Land/Airport-Ag,Agricultural / Rural,Low,Vacant Land,Boise,PC,Planned Community,master-plan (use TBD),2.825,0.73,2,1678.71,21,43.533523,-116.095952,139.3,PAR #9060 OF NE'LY COR SE4SE4 SEC 4  2N 3E PARCEL A  R/S 8752 #449050-S
S1606233800,2525 E GOWEN RD,2N 3E 06,17.2052,16.9,0,Ada County,M3,County Manufacturing M3,Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,0.172,0.737,3,1305.42,35,43.539246,-116.151373,136.7,S 1/2 OF LOT 5 SEC 6 2N 3E #233100 R #96080772 #96080771
S1501142005,6950 S FEDERAL WAY,2N 2E 01,2.9194,2.96,0,Ada County,M3,County Manufacturing M3,Industrial / Business Park,Low,Vacant Land,Boise,Industrial,Industrial,non-residential,0.225,0.753,3,1305.42,35,43.539235,-116.154073,136.6,PAR #2005 OF SE4NE4 SEC 1 2N 2E #142000-B #96080772 #96080771
