Property Name,Floorplan,Unit,Floor,Bedrooms,Bathrooms,Partial Bathrooms,SF,Available On,Deposit,Term,Est AMI Level,Last Asking Rent,Asking Rent PSF,Last Effective Rent,Effective Rent PSF,On Market Date,Off Market Date,Days on Market,Days Vacant
Canyon Ridge,A3,D-211,2,1,1,,593,8/12/2025,700,15,80%,1495,2.52,1495,2.52,2025-07-02,2025-10-27,118,77
Canyon Ridge,A3,A-207,2,1,1,,593,9/1/2024,700,12,80%,1600,2.7,1477,2.49,2024-07-16,2024-09-21,68,21
Canyon Ridge,A3,A-207,2,1,1,,593,11/5/2025,700,15,80%,1495,2.52,1495,2.52,2025-08-20,2025-11-21,94,17
Canyon Ridge,A3,A-107,1,1,1,,593,9/1/2024,700,12,80%,1525,2.57,1525,2.57,2024-07-16,2024-08-09,25,0
Canyon Ridge,A3,A-107,1,1,1,,593,11/4/2025,700,14,80%,1525,2.57,1324,2.23,2025-09-26,2025-12-03,69,30
Canyon Ridge,A3,C-406,4,1,1,,593,10/2/2025,700,15,80%,1550,2.61,1359,2.29,2025-03-11,2025-12-31,296,91
Canyon Ridge,A3,B-220,2,1,1,,593,9/1/2024,700,12,80%,1600,2.7,1600,2.7,2024-07-16,2024-07-26,11,0
Canyon Ridge,A3,B-220,2,1,1,,593,3/15/2025,500,12,80%,1565,2.64,1384,2.33,2024-11-15,2025-05-10,177,57
Canyon Ridge,A3,D-404,4,1,1,,593,8/12/2025,700,12,80%,1595,2.69,1349,2.27,2025-07-02,2025-09-12,73,32
Canyon Ridge,A3,D-304,3,1,1,,593,8/12/2025,700,12,80%,1595,2.69,1349,2.27,2025-07-02,2025-09-11,72,31
Canyon Ridge,A3,D-204,2,1,1,,593,8/12/2025,700,12,80%,1595,2.69,1595,2.69,2025-07-02,2025-09-04,65,24
Canyon Ridge,A3,E-206,2,1,1,,593,8/5/2025,700,12,80%,1595,2.69,1349,2.27,2025-05-30,2025-09-18,112,45
