account,situs,subdivision,acres,assessor_acres,total_value,jurisdiction,zone_code,zone_plain,zone_category,mf_threat,bucket,flu_source,flu_designation,flu_plain,flu_intent,dist_mi,compactness,contig_group,contig_group_acres,contig_group_parcels,lat,lon,interest,legal
S1223120955,S GRAND FORK WAY,3N 1W 23,8.6171,8.61,3750500,City of Meridian,R-15,Meridian Med-High Density Res (15 du/ac),Multifamily Residential,High,Vacant Land,Meridian,High Density Residential,High-Density Residential (planned),supports multifamily,3.094,0.676,4,92.54,8,43.586947,-116.422327,173.4,PAR #0955 OF N2 SEC 23 3N 1W PARCEL G ROS 11271 #120650-S #212611-S
S1223212615,2521 W OVERLAND RD,3N 1W 23,14.4485,14.45,5976400,City of Meridian,R-15,Meridian Med-High Density Res (15 du/ac),Multifamily Residential,High,Vacant Land,Meridian,High Density Residential,High-Density Residential (planned),supports multifamily,3.261,0.466,4,92.54,8,43.588717,-116.425894,173.0,PAR #2615 OF N2 SEC 23 3N 1W PARCEL H ROS 11271 #120650-S #210801-S #212611-S
R6733720460,3500 W COBALT DR,OUTER BANKS SUB,12.5334,12.546,6558000,City of Meridian,R-40,Meridian High Density Res (40 du/ac),Multifamily Residential,High,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.921,0.449,1,197.93,32,43.602686,-116.437827,172.2,LOT 23 BLK 01 OUTER BANKS SUB
S1215131410,W COBALT DR,3N 1W 15,32.5232,32.55,,City of Meridian,R-15,Meridian Med-High Density Res (15 du/ac),Multifamily Residential,High,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),4.082,0.672,1,197.93,32,43.599413,-116.441807,171.8,PAR #1410 POR OF NE4 SEC 15 3N 1W #131406-B
S1215244250,4300 W GRAND MOGUL DR,3N 1W 15,39.4166,39.46,,City of Meridian,R-15,Meridian Med-High Density Res (15 du/ac),Multifamily Residential,High,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),4.298,0.758,1,197.93,32,43.599109,-116.446191,171.4,PAR #4250 POR SE4NW4 SEC 15 3N 1W #244201-B
S1215233700,S BLACK RD,3N 1W 15,21.776,21.8,,City of Meridian,R-15,Meridian Med-High Density Res (15 du/ac),Multifamily Residential,High,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),4.546,0.485,1,197.93,32,43.599784,-116.451083,170.9,PAR #3700 OF SW4NW4 SEC 15 3N 1W #233650-B
R3259151240,738 W HARRIS ST,GRAYCLIFF ESTATES SUB NO 02,1.6831,1.69,0,City of Meridian,R-8,Meridian Medium Density Res (8 du/ac),Townhouse / Med-Density Residential,Medium,Vacant Land,Meridian,High Density Residential,High-Density Residential (planned),supports multifamily,2.689,0.752,3,96.9,7,43.568097,-116.403336,158.5,LOT 02 BLK 07 GRAYCLIFF ESTATES SUB NO 02
R1863770700,3240 W GRAND MOGUL DR,DISTRICT TEN MILE SUB NO 01,1.3538,1.355,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.725,0.8,1,197.93,32,43.598951,-116.43468,152.6,LOT 07 BLK 01 DISTRICT TEN MILE SUB NO 01
R1863770400,3223 W COBALT DR,DISTRICT TEN MILE SUB NO 01,2.2266,2.229,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.735,0.72,1,197.93,32,43.600824,-116.434504,152.5,LOT 04 BLK 01 DISTRICT TEN MILE SUB NO 01
R1863770500,3249 W COBALT DR,DISTRICT TEN MILE SUB NO 01,1.222,1.223,,City of Meridian,C-G,General Retail & Service Commercial,Commercial,Medium,Vacant Land,Meridian,Ten Mile Interchange Specific,Ten Mile Interchange (specific area plan),master-plan (use TBD),3.731,0.776,1,197.93,32,43.600042,-116.434596,152.5,LOT 05 BLK 01 DISTRICT TEN MILE SUB NO 01
