FLU (source: designation),Vacant parcels in area
Meridian: Medium Density Residential,4202
Boise: Suburban,1861
Meridian: Low Density Residential,681
Boise: Compact,568
Ada County: Incorporated Cities and Areas of City Impact,385
Meridian: MU-C,377
Meridian: Ten Mile Interchange Specific,359
Meridian: Med-High Density Residential,351
Boise: Mixed Use,295
Meridian: Commercial,273
Meridian: MU-RG,261
Boise: Commercial,200
Meridian: MU-N,130
Boise: Industrial,129
Meridian: High Density Residential,122
Meridian: Old Town,119
Boise: Large Lot/Rural,85
Meridian: Civic,83
Meridian: General Industrial,60
Meridian: Office,51
Boise: Office,37
Boise: High Density,32
(no FLU),27
Meridian: MU-NR,24
Meridian: Mixed Employment,16
Boise: Parks/Open Space,15
Boise: School,10
Boise: Public/Quasi-Public,10
Meridian: High Density Employment,10
Meridian: MU-Com,6
Ada County: Rural,6
