rank,reasoned_threat,zoning_plain,zoning_code,parcel_count,acres,dist_mi,lat,lon,LOCATION,OWNER1,owner_type,PARCEL,rationale
1,High,General Retail & Service Commercial (City of Meridian),City of Meridian:C-G,4,21.71,1.35,43.611203,-116.369046,E PINE AVE,,individual,"R0427510100,R0427510200,S1108325455,S1108325470","PINE 43 EXPANSION (E Pine Ave, Locust Grove→Hickory, ~1.4 mi N). This 7.2-ac ag-exempt parcel is part of the H-2024-0071 annexation (I-L/C-G/R-15) approved by council 10/21/2025: a 270-unit MF CUP (87-ft height exception) is entitled NOW, inside a revamp contemplating ~848 apartments + 35 TH over 10-12 years (~$1B). Filed under the legacy 'Pine 43' name — invisible to brand-name searches. The single most material entitled threat in the ring."
2,High,County Rural-Urban Transition (Ada County); Community Business (City of Meridian); General Retail & Service Commercial (City of Meridian); High-Density Employment (City of Meridian); Mixed Employment (City of Meridian); Meridian Med-High Density Res (15 du/ac) (City of Meridian); Meridian High Density Res (40 du/ac) (City of Meridian),"Ada County:RUT, City of Meridian:C-C, City of Meridian:C-G, City of Meridian:H-E, City of Meridian:M-E, City of Meridian:R-15, City of Meridian:R-40",41,306.39,3.73,43.599109,-116.446191,4300 W GRAND MOGUL DR,,individual,"R0804240320,R1863770200,R1863770300,R1863770400,R1863770500,R1863770700,R1863770800,R1863770900,R1863771000,R1863771100,R1863771300,R1863771400,R1863771610,R6733720020,R6733720065,R6733720320,R6733720380,R6733720400,R6733720420,R6733720440,R6733720460,R8956280200,R8956280600,R8956280700,R8956350020,R8956350040,R8956350060,R8956350080,R8956400100,R8956400300,R8956400400,S1215131410,S1215142300,S1215223102,S1215223450,S1215233700,S1215244250,S1215325450,S1215325600,S1215417217,S1215417409","OUTER BANKS (SW corner Franklin & Ten Mile, 3.3 mi W). Elk Ventures' 516-unit CUP (364 apts, 126 flats, 26 TH on 19.34 ac R-40/C-C) — groundbreaking expected 2026, 14-16-month build, first units summer 2027 (Statesman 2026 outlook). Was carried as an unquantified watch item; now imminent physical supply. Ten Mile submarket, so pressure on the subject is partial."
3,High,Meridian Med-High Density Res (15 du/ac) (City of Meridian),City of Meridian:R-15,5,11.9,0.98,43.578946,-116.352827,2820 S EAGLE RD,,individual,"S1121336101,S1121336200,S1121336230,S1121336251,S1121336276","EMBLEM MERIDIAN / ex-Artisan Victory Market (2820 S Eagle Rd, 1.0 mi S). Quarterra filed formal early plans June 2026 for 250 units (apartments + TH) on ~13 ac R-15. Same Eagle Rd corridor as the subject; nearest live multifamily application to the subject."
4,High-Watch,General Retail & Service Commercial (City of Meridian),City of Meridian:C-G,1,9.87,2.12,43.620621,-116.345578,1730 N RECORDS WAY,,individual,S1104347006,"RECORDS (Brighton, NE corner Fairview & Records Way, 2.1 mi N). 472-unit urban CUP (H-2022-0008) entitled 2022, dormant 4+ years — Brighton still markets 'coming soon' but CUP validity is unverified and Brighton has been silent. Large, single-owner, fully designed: fast to revive in a strong market; discounted for dormancy."
5,High,General Retail & Service Commercial (City of Meridian); Meridian Med-High Density Res (15 du/ac) (City of Meridian); Meridian High Density Res (40 du/ac) (City of Meridian),"City of Meridian:C-G, City of Meridian:R-15, City of Meridian:R-40",8,56.79,1.73,43.595513,-116.399866,S JOHNSON LN,,individual,"S1213428320,S1213417006,S1213417480,S1213417600,S1213417630,S1213417707,S1213427840,S1213427900","TANNER CREEK (Waltman Ln/S Johnson Ln between I-84 and Overland, 1.8 mi W). Approved phased plan incl. 280 apartments alongside SF/TH and the ~30-ac Hawkins commercial; CBH building the residential phases. Ag-exempt Waltman parcels in this cluster are the staging ground."
6,High,County Residential R1 (Ada County); County Rural-Urban Transition (Ada County); Meridian Med-Low Density Res (4 du/ac) (City of Meridian); Meridian High Density Res (40 du/ac) (City of Meridian); Meridian Medium Density Res (8 du/ac) (City of Meridian); Traditional Neighborhood Residential (City of Meridian),"Ada County:R1, Ada County:RUT, City of Meridian:R-4, City of Meridian:R-40, City of Meridian:R-8, City of Meridian:TN-R",23,410.69,2.6,43.563611,-116.417711,S LINDER RD,,individual,"R2861920901,R3259151240,S1236120701,S1236120820,S1236120876,S1236121060,S1236121090,S1236131200,S1236141820,S1236223200,S1236314900,S1236417204,S1225314840,S1225325700,S1225325800,S1225325900,S1225336400,S1225336525,S1225347115,S1225418959,S1225418970,S1225449650,S1226417225","SOUTH-MERIDIAN AG BELT: GRAYCLIFF + SYRINGA (one contiguous farm/L cluster, 2.6-3.2 mi SW). Two distinct tracked projects sit inside this cluster: (1) GRAYCLIFF ESTATES R-40 block (701 W Harris, S1225418970, 14.4 ac) — 224 planned MF units inside an executing SF master plan (Star Development; KB Home building since 2021); confirmed unbuilt, no 2026 activity — latent, activates at the developer's option. (2) SYRINGA CROSSING (Meridian Rd/SH-69 & Amity, S1236141820, 35.9 ac TN-R): Hawkins' ~400-home plan with a 302-unit MF CUP on 15.23 ac R-40 (down from 322) — P&Z recommended denial 4/2/2026, council remanded, re-heard 8/6/2026 (outcome unpublished). Combined: ~526 latent/contested units in the south ag belt."
7,High,Meridian Med-High Density Res (15 du/ac) (City of Meridian); Two-Family / Low-Density (City of Meridian); Meridian Med-Low Density Res (4 du/ac) (City of Meridian); Meridian Medium Density Res (8 du/ac) (City of Meridian),"City of Meridian:R-15, City of Meridian:R-2, City of Meridian:R-4, City of Meridian:R-8",8,92.54,3.09,43.585774,-116.424483,W OVERLAND RD,,individual,"S1223120955,S1223131245,S1223212615,S1223233920,S1223233950,S1223234020,S1223244225,S1223244280","TEN MILE CROSSING / DISTRICT AT TEN MILE NODE (SW Overland & Ten Mile, ~3.1-3.3 mi W). Brighton's Ten Mile Crossing residual R-15/R-8 HDR parcels plus Ball Ventures Ahlquist's 222-ac District at Ten Mile, which broke ground May 2026 with ~1,800 residential units (incl. up to 400 townhomes, vertical from mid-2026) that no vendor feed counts. Different submarket (Ten Mile) but the volume is large enough to matter ring-wide."
8,Medium,General Retail & Service Commercial (City of Meridian); Meridian High Density Res (40 du/ac) (City of Meridian),"City of Meridian:C-G, City of Meridian:R-40",9,20.86,0.62,43.596264,-116.343571,1044 S SILVERSTONE WAY,,individual,"R7319430820,R7319431200,R7319431300,R7319431400,R7319431500,R7319431600,R7319431700,R7319431905,R7555000285","RACKHAM / EAGLE VIEW LANDING RESIDUAL (S Silverstone Way, 0.6 mi NE). The R-40 block delivered as The Aren (396u, 2024); residual C-G pads at the Eagle/I-84 node remain developable and MF-capable via CUP at a regional employment node. Watch the 'Aren east phase' question — verify whether its planned second phase is inside the tracked 396."
9,Medium,Two-Family / Low-Density (City of Boise); Light Industrial (City of Meridian); Limited Office (City of Meridian),"City of Boise:R-2, City of Meridian:I-L, City of Meridian:L-O",7,67.22,0.92,43.603227,-116.347006,3805 E FRANKLIN RD,,individual,"R2789520100,R8509130020,S1116110300,S1116120662,S1116121055,S1116212561,S1116244261","TOUCHMARK MIXED USE (Touchmark Way/Magic View, 0.9 mi N). ~64 undeveloped ac of the senior campus; 2025 DA-mod + rezone + PUD in progress toward a broader mixed-use program. Age-restricted orientation blunts direct competition, but entitled residential capacity this close deserves a pin."
10,Low-Watch,General Retail & Service Commercial (City of Meridian),City of Meridian:C-G,3,20.7,0.13,43.59271,-116.363226,2600 E OVERLAND RD,,individual,"R1814730150,R1814730172,S1117438630","2600 E OVERLAND — THE 'SEASONS AT MERIDIAN II' SITE (0.1 mi W, touching parcel). The audit's headline correction: Morgan Stonehill's 351/345-unit Phase II (H-2022-0030, filed as 'Overland & Wells II') was DENIED 10/25/2022 (findings 11/9/2022 — employment-land loss, failing Overland/Eagle intersections, MF over-concentration next to Phase 1). No CUP ever issued, no re-application through Aug 2026. Owner WinCo Foods lot-split the 18 ac in Feb 2025 and markets it via Colliers as big-box/pad retail ground leases. Dead as MF (~5% de-novo revival, earliest ~2030); the denial precedent protects the subject's node. Residual outcome here is retail (amenity-positive, traffic-negative)."
