basis,month,event,generation,unit,unit_type,sf,resident_id,name,corporate,signed,movein_est,term_mo,prior_term_mo,prior_gross,new_gross,to_gross_pct,prior_eff,new_eff,to_eff_pct,prior_conc_total,new_conc_total,prior_expiration,prior_resident,prior_name,prior_moveout,outcome,days_vacant,days_on_market,source,prior_basis
PROXY (HelloData),2024-06,New Lease,First lease-up lease,G101,Two Bedroom | B2,1141.0,,,,2024-06-30,2024-07-15,,,,2045.0,,,2045.0,,,,,,,,,0.0,20.0,HelloData off-market date = new lease signed,
PROXY (HelloData),2024-06,New Lease,First lease-up lease,G103,One Bedroom | A1,693.0,,,,2024-06-30,2024-07-15,,,,1610.0,,,1610.0,,,,,,,,,0.0,20.0,HelloData off-market date = new lease signed,
PROXY (HelloData),2024-07,New Lease,First lease-up lease,G301,B2,1141.0,,,,2024-07-17,2024-08-01,,,,2020.0,,,2020.0,,,,,,,,,0.0,37.0,HelloData off-market date = new lease signed,
PROXY (HelloData),2024-07,New Lease,First lease-up lease,G305,B1,1092.0,,,,2024-07-28,2024-08-12,,,,1960.0,,,1960.0,,,,,,,,,0.0,48.0,HelloData off-market date = new lease signed,
PROXY (HelloData),2024-07,New Lease,First lease-up lease,G307,Two Bedroom | B2,1141.0,,,,2024-07-20,2024-08-04,,,,2055.0,,,2055.0,,,,,,,,,0.0,40.0,HelloData off-market date = new lease signed,
PROXY (HelloData),2024-07,New Lease,First lease-up lease,H309,Two Bedroom | B1,1092.0,,,,2024-07-20,2024-08-04,,,,1960.0,,,1960.0,,,,,,,,,0.0,50.0,HelloData off-market date = new lease signed,
PROXY (HelloData),2024-08,New Lease,First lease-up lease,B102,B3,1165.0,,,,2024-08-31,2024-09-15,,,,2173.0,,,1838.0,,,,,,,,,9.0,9.0,HelloData off-market date = new lease signed,
PROXY (HelloData),2024-08,New Lease,First lease-up lease,B103,One Bedroom | A1,693.0,,,,2024-08-31,2024-09-15,,,,1600.0,,,1354.0,,,,,,,,,9.0,9.0,HelloData off-market date = new lease signed,
PROXY (HelloData),2024-08,New Lease,First lease-up lease,B104,A2,746.0,,,,2024-08-31,2024-09-15,,,,1714.0,,,1450.0,,,,,,,,,9.0,9.0,HelloData off-market date = new lease signed,
PROXY (HelloData),2024-08,New Lease,First lease-up lease,B105,A1,693.0,,,,2024-08-31,2024-09-15,,,,1600.0,,,1354.0,,,,,,,,,9.0,9.0,HelloData off-market date = new lease signed,
PROXY (HelloData),2024-08,New Lease,First lease-up lease,B106,A1,693.0,,,,2024-08-31,2024-09-15,,,,1600.0,,,1354.0,,,,,,,,,9.0,9.0,HelloData off-market date = new lease signed,
PROXY (HelloData),2024-08,New Lease,First lease-up lease,B107,Two Bedroom | B2,1141.0,,,,2024-08-31,2024-09-15,,,,2045.0,,,1730.0,,,,,,,,,9.0,9.0,HelloData off-market date = new lease signed,
