period,props,units,ask,eff,conc
2016 Q1,54.0,5229.0,893.8695735322241,871.5509657678336,0.023646212347925317
2016 Q2,55.0,5597.0,936.2185099160267,918.3610862962298,0.017199873988633988
2016 Q3,56.0,5653.0,945.404387051123,933.6113568016985,0.011846347357115828
2016 Q4,58.0,5699.0,953.6478329531496,943.5062291630114,0.01033799333570258
2017 Q1,58.0,5699.0,969.8954202491662,958.7855764169154,0.012001490071066009
2017 Q2,58.0,5699.0,988.6001052816283,982.0436918757679,0.006338256146984803
2017 Q3,61.0,5931.0,1009.5611195413924,1000.3023098971506,0.008963400185840685
2017 Q4,61.0,5931.0,1022.013994267408,1005.329286798179,0.0159335382270653
2018 Q1,62.0,6011.0,1039.2560306105474,1027.0741973049405,0.012093227556692033
2018 Q2,65.0,6331.0,1080.6198072974262,1069.025746327594,0.010697195489671773
2018 Q3,66.0,6427.0,1106.5403765364865,1090.8023961412787,0.012999947285821737
2018 Q4,67.0,6707.0,1133.0336961383634,1112.3995825257193,0.016782128691997862
2019 Q1,68.0,6851.0,1144.115895489709,1119.5540796963949,0.019166328887259464
2019 Q2,71.0,7631.0,1190.2903944437162,1170.928580788888,0.014808015673840234
2019 Q3,71.0,7631.0,1198.0128423535577,1182.7238893985068,0.011371773969067907
2019 Q4,72.0,7755.0,1208.242037395229,1199.4883301096077,0.006796489203462109
2020 Q1,74.0,8625.0,1226.3783188405798,1210.9561739130438,0.011856934439191159
2020 Q2,75.0,8731.0,1243.8160577253464,1233.743786507845,0.007505696512749655
2020 Q3,77.0,9307.0,1275.4535296013746,1266.9086708928762,0.006508615709589973
2020 Q4,79.0,9424.0,1315.1653225806447,1306.9437606112053,0.006122111968105063
2021 Q1,82.0,9985.0,1388.053380070106,1382.636054081122,0.003986104872694431
2021 Q2,83.0,10220.0,1490.9392367906066,1481.3949119373783,0.006253044555764344
2021 Q3,84.0,10460.0,1520.097323135755,1509.1971319311656,0.006907988967194569
2021 Q4,86.0,10518.0,1546.2211447043164,1533.6248336185586,0.0077829619143647225
2022 Q1,86.0,10518.0,1588.912911199848,1572.6456550675036,0.009692519642421933
2022 Q2,89.0,10693.0,1649.2106985878609,1634.4635743009446,0.00839484426401341
2022 Q3,91.0,10801.0,1625.2297935376355,1596.4345893898712,0.01660187340085557
2022 Q4,92.0,10892.0,1592.1502019831069,1556.7587219977966,0.021504945568332337
2023 Q1,95.0,11097.0,1601.6925295124809,1558.5998017482202,0.02489064126501581
2023 Q2,99.0,11895.0,1611.3744430432957,1568.0993694829754,0.02518297379437583
2023 Q3,99.0,11895.0,1581.7824295922658,1530.6075662042874,0.030647639385634837
2023 Q4,99.0,11895.0,1564.524674232871,1495.1189575451876,0.04207084513670254
2024 Q1,101.0,12011.0,1590.0282241278828,1541.5612355340938,0.02932134653749612
2024 Q2,104.0,12934.0,1588.6533168393375,1542.236044533787,0.02767875156110378
2024 Q3,105.0,13294.0,1595.0987663607639,1539.1165939521588,0.0335804413128519
2024 Q4,106.0,13336.0,1584.1067036592688,1539.4208158368328,0.02691562240204071
2025 Q1,106.0,13336.0,1587.1073785242957,1538.8942711457712,0.02955815389517799
2025 Q2,106.0,13336.0,1615.2576484703056,1567.25449910018,0.02799108881810133
2025 Q3,106.0,13336.0,1603.4250149970005,1561.7451259748045,0.02430583807547765
2025 Q4,106.0,13336.0,1587.5554889022198,1533.4681313737253,0.0324843707687856
2026 Q1,106.0,13336.0,1626.5059238152376,1574.1055788842236,0.030789497547427897
2026 Q2,107.0,13492.0,1680.1620960569226,1646.5162318410905,0.018913526938774093
2026 Q3,107.0,13492.0,1690.7213163356064,1666.7174621998222,0.013294348370249382
