period,props,units,ask,eff,conc
2016 Q1,54.0,5229.0,893.8695735322241,871.5509657678336,0.023646212347925317
2016 Q2,55.0,5597.0,936.2185099160267,918.3610862962298,0.017199873988633988
2016 Q3,56.0,5653.0,945.404387051123,933.6113568016985,0.011846347357115828
2016 Q4,58.0,5699.0,953.6478329531496,943.5062291630114,0.01033799333570258
2017 Q1,58.0,5699.0,969.8954202491662,958.7855764169154,0.012001490071066009
2017 Q2,58.0,5699.0,988.6001052816283,982.0436918757679,0.006338256146984803
2017 Q3,61.0,5931.0,1009.5611195413924,1000.3023098971506,0.008963400185840685
2017 Q4,61.0,5931.0,1022.013994267408,1005.329286798179,0.0159335382270653
2018 Q1,62.0,6011.0,1039.2560306105474,1027.0741973049405,0.012093227556692033
2018 Q2,65.0,6331.0,1080.6198072974262,1069.025746327594,0.010697195489671773
2018 Q3,66.0,6427.0,1106.5403765364865,1090.8023961412787,0.012999947285821737
2018 Q4,67.0,6707.0,1133.0336961383634,1112.3995825257193,0.016782128691997862
2019 Q1,68.0,6851.0,1144.115895489709,1119.5540796963949,0.019166328887259464
2019 Q2,71.0,7631.0,1190.2903944437162,1170.928580788888,0.014808015673840234
2019 Q3,71.0,7631.0,1198.0128423535577,1182.7238893985068,0.011371773969067907
2019 Q4,72.0,7755.0,1208.242037395229,1199.4883301096077,0.006796489203462109
2020 Q1,74.0,8625.0,1226.3783188405798,1210.9561739130438,0.011856934439191159
2020 Q2,75.0,8731.0,1243.8160577253464,1233.743786507845,0.007505696512749655
2020 Q3,77.0,9307.0,1275.4535296013746,1266.9086708928762,0.006508615709589973
2020 Q4,79.0,9424.0,1315.1653225806447,1306.9437606112053,0.006122111968105063
2021 Q1,82.0,9985.0,1388.053380070106,1382.636054081122,0.003986104872694431
2021 Q2,83.0,10220.0,1490.9392367906066,1481.3949119373783,0.006253044555764344
2021 Q3,84.0,10460.0,1520.097323135755,1509.1971319311656,0.006907988967194569
2021 Q4,86.0,10518.0,1546.2211447043164,1533.6248336185586,0.0077829619143647225
2022 Q1,86.0,10518.0,1588.912911199848,1572.6456550675036,0.009692519642421933
2022 Q2,86.0,10518.0,1644.281612473854,1629.4122456740824,0.008474095326621979
2022 Q3,86.0,10518.0,1618.853964632059,1590.4271724662487,0.016402572333563552
2022 Q4,86.0,10518.0,1589.587278950371,1556.1561133295302,0.020091450218728178
2023 Q1,86.0,10518.0,1589.650123597642,1548.0625594219432,0.024261463452672705
2023 Q2,86.0,10518.0,1589.4709070165434,1553.1121886290166,0.02129761436345884
2023 Q3,86.0,10518.0,1558.152975850922,1513.5099828864809,0.02685859074902226
2023 Q4,86.0,10518.0,1538.7761931926218,1484.5813842935922,0.03409628954770062
2024 Q1,86.0,10518.0,1561.6799771819738,1525.5104582620268,0.02266757937020009
2024 Q2,86.0,10518.0,1556.5334664384857,1531.3030043734548,0.015664537067103437
2024 Q3,86.0,10518.0,1560.8079482791404,1525.587849401027,0.0213586420892658
2024 Q4,86.0,10518.0,1552.2885529568362,1520.7528047157257,0.019115509862394686
2025 Q1,86.0,10518.0,1551.870697851303,1517.0313747860814,0.02157557695416522
2025 Q2,86.0,10518.0,1577.138239208975,1548.5029473283896,0.017480048828707774
2025 Q3,86.0,10518.0,1569.441433732649,1543.1243582430116,0.01571257824517305
2025 Q4,86.0,10518.0,1551.2413957026054,1519.8420802433918,0.019702341933256377
2026 Q1,86.0,10518.0,1591.066837801864,1558.1399505609436,0.01977641153606814
2026 Q2,86.0,10518.0,1643.3857197185778,1617.9066362426313,0.014790895815444564
2026 Q3,86.0,10518.0,1654.28940863282,1632.1932876972808,0.012364373439938825
