acres,parcel_count,min_dist_mi,owner,owner_type,zoning,zoning_threat_baseline,compactness,location,lat,lon,parcels
306.39,41,3.73,,individual,"Ada County:RUT, City of Meridian:C-C, City of Meridian:C-G, City of Meridian:H-E, City of Meridian:M-E, City of Meridian:R-15, City of Meridian:R-40",High,0.758,4300 W GRAND MOGUL DR,43.599109,-116.446191,"R0804240320,R1863770200,R1863770300,R1863770400,R1863770500,R1863770700,R1863770800,R1863770900,R1863771000,R1863771100,R1863771300,R1863771400,R1863771610,R6733720020,R6733720065,R6733720320,R6733720380,R6733720400,R6733720420,R6733720440,R6733720460,R8956280200,R8956280600,R8956280700,R8956350020,R8956350040,R8956350060,R8956350080,R8956400100,R8956400300,R8956400400,S1215131410,S1215142300,S1215223102,S1215223450,S1215233700,S1215244250,S1215325450,S1215325600,S1215417217,S1215417409"
253.2,20,2.52,,individual,"Ada County:R1, Ada County:RUT, City of Meridian:C-C, City of Meridian:R-15, City of Meridian:R-4, City of Meridian:R-40, City of Meridian:R-8",High,0.393,S LOCUST GROVE RD,43.549857,-116.373456,"R0475950022,R0475950147,R0475990620,R5165280020,R7176810800,S1132325410,S1132325801,S1131120760,S1131131210,S1131131235,S1131131690,S1131212400,S1131212500,S1131223350,S1131223400,S1131244505,S1131417400,S1131417500,S1131427855,S1131449050"
73.76,1,4.92,,individual,City of Boise:MX-3,High,0.625,11311 W CHINDEN BLVD,43.659664,-116.330518,S0527223101
60.34,8,3.16,,individual,"Ada County:RUT, City of Meridian:R-15, City of Meridian:R-2, City of Meridian:R-4",High,0.581,S MERIDIAN RD,43.54773,-116.390505,"R7824220180,S1131336031,S1131336050,S1131336111,S1131346655,S1131346925,S1131346941,S1131347001"
56.79,8,1.73,,individual,"City of Meridian:C-G, City of Meridian:R-15, City of Meridian:R-40",High,0.359,S JOHNSON LN,43.595513,-116.399866,"S1213417006,S1213417480,S1213417600,S1213417630,S1213417707,S1213427840,S1213427900,S1213428320"
38.73,1,3.68,,individual,City of Meridian:R-40,High,0.731,2954 W FRANKLIN RD,43.607504,-116.43127,S1211336065
18.94,3,4.28,,individual,"City of Boise:MX-2, City of Boise:MX-3",High,0.752,555 S COLE RD,43.599194,-116.27599,"R0608600020,S1113141820,S1113141903"
11.9,5,0.98,,individual,City of Meridian:R-15,High,0.563,2820 S EAGLE RD,43.578946,-116.352827,"S1121336101,S1121336200,S1121336230,S1121336251,S1121336276"
11.41,3,3.76,,individual,"City of Meridian:R-15, City of Meridian:R-8",High,0.791,1515 W USTICK RD,43.632916,-116.41235,"S1201223115,S1201223160,S1201223220"
11.37,3,4.52,,individual,City of Meridian:R-15,High,0.427,4420 W FRANKLIN RD,43.606378,-116.449045,"S1210336405,S1210336451,S1210336521"
7.91,1,3.26,,individual,City of Meridian:R-15,High,0.751,6227 S CULMINATION LN,43.547529,-116.382893,R0475061520
6.58,3,1.06,,individual,"City of Boise:MX-2, City of Meridian:C-G",High,0.345,12535 W OVERLAND RD,43.589403,-116.338955,"R5862150400,S1121110011,S1121110201"
5.87,2,4.19,,individual,City of Boise:MX-3,High,0.423,S COLE RD,43.588731,-116.275984,"S1124110220,S1124110240"
5.85,1,3.62,,individual,City of Boise:MX-3,High,0.758,9514 W FAIRVIEW AVE  STE 100,43.620464,-116.300199,R9323100800
5.13,1,3.31,,individual,City of Boise:MX-2,High,0.78,3855 N EAGLE RD,43.639734,-116.355365,R4582530202
4.96,2,4.07,,individual,City of Boise:MX-3,High,0.19,N MILWAUKEE ST,43.609304,-116.280554,"R8512270018,R8512270030"
4.68,4,1.94,,individual,City of Boise:MX-1,High,0.698,11101 W OVERLAND RD,43.58968,-116.320945,"R8048700050,R8048700060,R8048700070,R8048700090"
4.58,1,4.0,,individual,City of Meridian:R-40,High,0.746,1680 W USTICK RD,43.634769,-116.41456,S0435449706
4.57,1,2.14,,individual,City of Boise:MX-3,High,0.717,12565 W FAIRVIEW AVE,43.61847,-116.338838,S1109110516
4.46,2,3.23,,individual,City of Boise:MX-3,High,0.516,10025 W FAIRVIEW AVE,43.618468,-116.307605,"R1096253483,R1096253603"
3.52,2,4.9,,individual,"City of Boise:MX-3, City of Boise:R-2",High,0.618,1500 N ELDORADO ST,43.617902,-116.269275,"R3078010001,R8019000050"
3.35,1,4.1,,individual,City of Boise:MX-3,High,0.38,7809 W OVERLAND RD,43.588966,-116.279113,S1124120680
3.34,2,4.02,,individual,City of Boise:MX-1,High,0.602,W SPECTRUM ST,43.587231,-116.280804,"R2405370020,R2405370090"
3.29,2,2.83,,individual,City of Boise:MX-3,High,0.764,10990 W FAIRVIEW AVE,43.61993,-116.318979,"R1580902560,R1580902800"
3.21,2,3.5,,individual,City of Boise:MX-2,High,0.671,8764 W HACKAMORE DR,43.595849,-116.291141,"R1343830200,R1343830300"
3.17,1,4.72,,individual,City of Boise:MX-3,High,0.794,12437 W BRIDGER ST,43.658155,-116.337459,R7406060075
3.03,2,3.73,,individual,Ada County:R20,High,0.245,6008 S BODDINGTON LN,43.548132,-116.316259,"R1376910360,R1376920780"
2.96,1,3.81,,individual,City of Boise:MX-2,High,0.593,1250 S VINNELL WAY,43.594206,-116.284712,R1343810200
2.75,2,2.32,,individual,City of Meridian:R-40,High,0.166,N LAKES PL,43.621528,-116.384077,"R1819660060,R1819680030"
2.64,1,4.93,,individual,City of Meridian:R-15,High,0.73,1250 E EVEREST ST,43.662155,-116.378956,R1029680110
2.57,1,3.44,,individual,City of Boise:MX-3,High,0.773,1450 N MITCHELL ST,43.618066,-116.30231,R8281007135
2.56,1,3.94,,individual,City of Boise:MX-1,High,0.177,13201 W PERSIMMON LN,43.647847,-116.345961,R8192260010
2.48,1,3.58,,individual,City of Boise:MX-2,High,0.513,450 S MAPLE GROVE RD,43.600585,-116.290365,S1113233665
2.3,1,4.55,,individual,City of Meridian:R-15,High,0.212,W TOPEKA ST,43.608736,-116.448819,R0623110320
2.24,1,1.95,,individual,Ada County:R20,High,0.783,3535 S CLOVERDALE RD,43.570712,-116.335095,R1618930200
2.13,1,4.57,,individual,City of Boise:MX-3,High,0.575,7315 W DENTON ST,43.609692,-116.272945,S1007325725
2.03,1,3.62,,individual,City of Boise:MX-2,High,0.79,1230 S BIRD ST,43.593356,-116.288499,S1113346750
1.79,1,2.15,,individual,City of Meridian:R-15,High,0.643,NE 3RD ST,43.615925,-116.388178,R5739800050
1.7,1,2.93,,individual,City of Boise:MX-3,High,0.787,1421 N FIVE MILE RD,43.618334,-116.314971,R5132000371
1.63,1,4.06,,individual,City of Boise:MX-2,High,0.396,7849 W GRATZ DR,43.601967,-116.280917,R3241910550
1.57,1,1.13,,individual,City of Meridian:R-15,High,0.225,2020 S MOVADO WAY,43.586797,-116.339407,R5862070580
1.55,1,1.67,,individual,City of Meridian:R-15,High,0.201,E REEM DR,43.615399,-116.368827,R7084130020
