property,bucket,units,address,latitude,longitude
10975 West Lake Hazel Road,PROPOSED,130,10975 W Lake Hazel Rd Boise ID 83709,,
12548 West Overland Road,PROPOSED,156,12548 W Overland Rd Boise ID 83709,,
12565 West Fairview Avenue,PROPOSED,275,12565 W Fairview Ave Boise ID 83713,,
Centrepoint,PROPOSED,213,3100 N Centrepoint Way Meridian ID 83646,,
Cobalt Point,PROPOSED,264,S Cobalt Point Way & E Copper Point Dr Meridian ID 83642,,
Cole Road,PROPOSED,61,709 N Cole Rd Boise ID 83704,,
Delano,LEASING UP,84,3858 N Centrepoint Way Meridian ID 83646,,
Madison Town Square,PROPOSED,251,460 N Milwaukee St Boise ID 83704,,
Promenade Cottages I,PROPOSED,30,403 E Fairview Ave Meridian ID 83642,,
Record,PROPOSED,472,E Fairview Ave & N Records Way Meridian ID 83642,,
South Ridge I,STABILIZED / STABILIZING,476,1703 S Grand Frk Wy Meridian ID 83642,,
Syringa Crossing,PROPOSED,322,Amity Ave & Meridian Rd Meridian ID 83642,,
The 10,PROPOSED,559,75 S Ten Mile Rd Meridian ID 83642,,
The Cole Denton,PROPOSED,136,580 N Cole Rd Boise ID 83704,,
Villas at Twelve Oaks East,PROPOSED,64,115 S Linder Rd Meridian ID 83642,,
