property,est_delivery,units,bucket,costar_year,# Fill est_delivery as 'Q2 2028'. Re-run with --pipeline-dates.
The 10,,559,PROPOSED,,
Record,,472,PROPOSED,,
Syringa Crossing,,322,PROPOSED,,
12565 West Fairview Avenue,,275,PROPOSED,,
Cobalt Point,,264,PROPOSED,,
Madison Town Square,,251,PROPOSED,,
Centrepoint,,213,PROPOSED,,
12548 West Overland Road,,156,PROPOSED,,
The Cole Denton,,136,PROPOSED,,
10975 West Lake Hazel Road,,130,PROPOSED,,
Villas at Twelve Oaks East,,64,PROPOSED,,
Cole Road,,61,PROPOSED,,
Meridian OZ Apartments,,60,PROPOSED,,
Promenade Cottages I,,30,PROPOSED,,
