Month,Net Migration,Natural Growth,International,Total Change
2021-06-01,1160.6,178,21,1359.6
2021-07-01,1911.97,130,286,2327.9700000000003
2021-08-01,2658.69,130,287,3075.69
2021-09-01,543.52,131,288,962.52
2021-10-01,200.99,131,289,620.99
2021-11-01,-508.7,131,289,-88.69999999999999
2021-12-01,330.5,131,289,750.5
2022-01-01,678.53,131,289,1098.53
2022-02-01,263.6,131,290,684.6
2022-03-01,-305.8,132,290,116.19999999999999
2022-04-01,2835.2,132,290,3257.2
2022-05-01,-90.26,132,291,332.74
2022-06-01,1828.86,132,291,2251.8599999999997
2022-07-01,1431.36,204,274,1909.36
2022-08-01,807.37,204,275,1286.37
2022-09-01,748.56,205,276,1229.56
2022-10-01,376.9,205,276,857.9
2022-11-01,567.77,205,276,1048.77
2022-12-01,87.22,206,277,570.22
2023-01-01,-162.11,206,277,320.89
2023-02-01,1379.48,206,277,1862.48
2023-03-01,140.69,206,278,624.69
2023-04-01,399.24,206,278,883.24
2023-05-01,407.56,207,278,892.56
2023-06-01,611.14,207,278,1096.1399999999999
2023-07-01,648.07,233,337,1218.0700000000002
2023-08-01,1526.72,234,337,2097.7200000000003
2023-09-01,246.08,234,338,818.08
2023-10-01,280.8,234,338,852.8
2023-11-01,875.08,235,339,1449.08
2023-12-01,457.69,235,339,1031.69
2024-01-01,442.17,235,340,1017.1700000000001
2024-02-01,66.99,236,340,642.99
2024-03-01,547.21,236,340,1123.21
2024-04-01,31.97,236,341,608.97
2024-05-01,-461.31,236,341,115.69
2024-06-01,636.21,236,341,1213.21
2024-07-01,772.96,237,342,1351.96
2024-08-01,1271.72,237,342,1850.72
2024-09-01,-9.48,238,343,571.52
2024-10-01,148.53,238,343,729.53
2024-11-01,252.51,238,344,834.51
2024-12-01,205.8,238,344,787.8
2025-01-01,503.66,238,344,1085.66
2025-02-01,418.78,239,345,1002.78
2025-03-01,380.89,239,345,964.89
2025-04-01,553.41,239,345,1137.4099999999999
2025-05-01,801.72,240,346,1387.72
2025-06-01,750.48,240,347,1337.48
2025-07-01,1180.95,240,347,1767.95
2025-08-01,1915.24,241,348,2504.24
2025-09-01,1272.57,242,349,1863.57
2025-10-01,853.53,242,350,1445.53
2025-11-01,528.9,243,350,1121.9
2025-12-01,240.86,243,351,834.86
2026-01-01,805.95,243,351,1399.95
2026-02-01,113.27,244,352,709.27
2026-03-01,1042.89,244,352,1638.89
2026-04-01,1507.5,244,352,2103.5
2026-05-01,524.86,244,353,1121.8600000000001
2026-06-01,1660.87,244,353,2257.87
