Month,Inbound,Outbound,Net Migration
2021-06-01,3523.45,2362.85,1160.6
2021-07-01,3749.01,1837.04,1911.97
2021-08-01,5363.15,2704.46,2658.69
2021-09-01,3531.34,2987.82,543.52
2021-10-01,2414.67,2213.68,200.99
2021-11-01,2575.31,3084,-508.7
2021-12-01,1666.26,1335.76,330.5
2022-01-01,2078.21,1399.68,678.53
2022-02-01,1177.46,913.86,263.6
2022-03-01,1149.81,1455.61,-305.8
2022-04-01,3810.46,975.26,2835.2
2022-05-01,2255.3,2345.56,-90.26
2022-06-01,4174.74,2345.88,1828.86
2022-07-01,5243.99,3812.63,1431.36
2022-08-01,4186.29,3378.92,807.37
2022-09-01,3463.13,2714.58,748.56
2022-10-01,2179.77,1802.87,376.9
2022-11-01,2358.46,1790.69,567.77
2022-12-01,1422.19,1334.97,87.22
2023-01-01,2279.94,2442.05,-162.11
2023-02-01,2378.76,999.28,1379.48
2023-03-01,1653.72,1513.03,140.69
2023-04-01,1994.27,1595.02,399.24
2023-05-01,2092.54,1684.98,407.56
2023-06-01,3234.14,2623,611.14
2023-07-01,2131.13,1483.06,648.07
2023-08-01,2850.49,1323.77,1526.72
2023-09-01,1726.51,1480.43,246.08
2023-10-01,1345.77,1064.97,280.8
2023-11-01,1950.66,1075.59,875.08
2023-12-01,1158.75,701.05,457.69
2024-01-01,1412.23,970.06,442.17
2024-02-01,845.6,778.61,66.99
2024-03-01,1184.06,636.85,547.21
2024-04-01,1336.05,1304.08,31.97
2024-05-01,1297.86,1759.17,-461.31
2024-06-01,2470.59,1834.38,636.21
2024-07-01,2279.52,1506.56,772.96
2024-08-01,2723.08,1451.36,1271.72
2024-09-01,1657.73,1667.21,-9.48
2024-10-01,1606.05,1457.52,148.53
2024-11-01,1490.01,1237.5,252.51
2024-12-01,1086.82,881.02,205.8
2025-01-01,1640.89,1137.23,503.66
2025-02-01,1148.93,730.16,418.78
2025-03-01,1258.31,877.42,380.89
2025-04-01,1634.89,1081.48,553.41
2025-05-01,1752.98,951.27,801.72
2025-06-01,2855.16,2104.69,750.48
2025-07-01,2659.86,1478.91,1180.95
2025-08-01,3843.86,1928.62,1915.24
2025-09-01,3030.69,1758.12,1272.57
2025-10-01,2337.38,1483.85,853.53
2025-11-01,2078.83,1549.93,528.9
2025-12-01,1501.46,1260.59,240.86
2026-01-01,2040.33,1234.38,805.95
2026-02-01,993.04,879.77,113.27
2026-03-01,2021.93,979.04,1042.89
2026-04-01,2289.33,781.83,1507.5
2026-05-01,1710.73,1185.88,524.86
2026-06-01,3368,1707.13,1660.87
