Market,State,Inbound,Outbound,Net Migration,Population,Median HHI,Median Age,Migration Type
"Los Angeles-Long Beach-Anaheim, CA Metro Area, California",,2671,1021,1650,13149209.78,96109.93391778112,38.5,In-State
"Riverside-San Bernardino-Ontario, CA Metro Area, California",,1562,498,1064,4818042.47,90201.55829844167,35.9,In-State
"San Francisco-Oakland-Fremont, CA Metro Area, California",,1091,262,829,4737853.68,136452.8123399521,40.3,In-State
"San Diego-Chula Vista-Carlsbad, CA Metro Area, California",,1175,529,646,3413745.48,106578.7446291676,37.3,In-State
"Chicago-Naperville-Elgin, IL-IN Metro Area, Illinois",,925,388,537,9416817.13,91338.52654148346,38.6,In-State
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area, District of Columbia",,720,216,504,6613567.68,126732.11055060469,38,In-State
"Albuquerque, NM Metro Area, New Mexico",,626,145,481,931792.2,70889.97199099392,39.8,In-State
"Columbus, OH Metro Area, Ohio",,531,70,461,2246705.84,82475.73468490384,36.7,In-State
"Sacramento-Roseville-Folsom, CA Metro Area, California",,1096,676,420,2499137,97100.87755842519,38.5,In-State
"Portland-Vancouver-Hillsboro, OR-WA Metro Area, Washington",,794,406,388,2545101.15,97551.81177292684,39.3,In-State
"San Jose-Sunnyvale-Santa Clara, CA Metro Area, California",,540,177,363,2072665.4,163631.30833796778,38,In-State
"Oxnard-Thousand Oaks-Ventura, CA Metro Area, California",,465,134,331,837118.62,110870.51139119615,39.6,In-State
"Seattle-Tacoma-Bellevue, WA Metro Area, Washington",,843,540,303,4254475.99,115281.53473842908,37.5,In-State
"Bakersfield-Delano, CA Metro Area, California",,322,57,265,942690.17,70254.95081928253,32.7,In-State
"Memphis, TN-MS-AR Metro Area, Tennessee",,420,156,264,1366696.84,66977.51422512475,36.8,In-State
"Santa Rosa-Petaluma, CA Metro Area, California",,305,55,250,481943.39,105565.0825416097,42.9,In-State
"Twin Falls, ID Metro Area, Idaho",,618,377,241,123238.56,68938.92406309984,35.8,Cross-State
"Fresno, CA Metro Area, California",,361,122,239,1200290.23,74443.59262064322,33.7,In-State
"Denver-Aurora-Centennial, CO Metro Area, Colorado",,1016,789,227,3104620.04,106104.44597864588,37.3,In-State
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area, Virginia",,384,184,200,1815792.24,82964.55298081634,37.4,In-State
"Idaho Falls, ID Metro Area, Idaho",,325,151,174,167654.2,80973.25987811227,33.5,Cross-State
"Wichita, KS Metro Area, Kansas",,245,73,172,665896.64,70561.93233123407,36.7,In-State
"Phoenix-Mesa-Chandler, AZ Metro Area, Arizona",,885,720,165,5492568.17,88871.75782666686,37.9,In-State
"Tulsa, OK Metro Area, Oklahoma",,284,121,163,1047607.91,69899.98098502663,37.4,In-State
"Cincinnati, OH-KY-IN Metro Area, Indiana",,332,171,161,2289008.33,81610.72046180579,38.2,In-State
"Las Vegas-Henderson-North Las Vegas, NV Metro Area, Nevada",,431,274,157,2493359.4,76728.73803129318,38.5,In-State
"Charlotte-Concord-Gastonia, NC-SC Metro Area, South Carolina",,213,58,155,2906013.66,83829.74209701296,37.9,In-State
"Omaha, NE-IA Metro Area, Nebraska",,349,197,152,999745.64,85407.07232258223,36.6,In-State
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area, Pennsylvania",,281,129,152,6299036.56,91570.91818068258,39.3,In-State
"Edwards, CO Micro Area, Colorado",,146,0,146,54451.98,104737.79425525201,39.7,In-State
"San Luis Obispo-Paso Robles, CA Metro Area, California",,206,61,145,329182.85,97610.23355197982,40.4,In-State
"Iowa City, IA Metro Area, Iowa",,142,0,142,189032.94,75105.12012092253,32.1,In-State
"Modesto, CA Metro Area, California",,264,123,141,559970.58,82208.25304249153,34.9,In-State
"Champaign-Urbana, IL Metro Area, Illinois",,177,52,125,264794.57,66262.43286195837,32,In-State
"Manhattan, KS Metro Area, Kansas",,143,30,113,141287.97,65913.824047828,27.3,In-State
"Pueblo, CO Metro Area, Colorado",,140,27,113,171018.13,64867.222558190806,40.4,In-State
"New York-Newark-Jersey City, NY-NJ Metro Area, New York",,154,44,110,19871736.93,99202.74847524318,39.5,In-State
"Provo-Orem-Lehi, UT Metro Area, Utah",,311,202,109,784203.09,100972.54878206084,25.8,In-State
"Visalia, CA Metro Area, California",,121,12,109,479508.78,71105.42871961038,32.1,In-State
"Winchester, VA-WV Metro Area, Virginia",,107,0,107,145495.2,84365.39101423416,41.2,In-State
"Daphne-Fairhope-Foley, AL Metro Area, Alabama",,103,0,103,244996.88,78200.66436750274,43.9,In-State
"Greeley, CO Metro Area, Colorado",,180,84,96,366802.21,96839.82308894367,35.3,In-State
"Merced, CA Metro Area, California",,110,15,95,294307.13,66042.28211973209,31.8,In-State
"Sheridan, WY Micro Area, Wyoming",,94,0,94,32041.38,72120.33514364144,42.7,In-State
"Augusta-Waterville, ME Micro Area, Maine",,91,0,91,124891.06,68834.70582426598,43.7,In-State
"Dallas-Fort Worth-Arlington, TX Metro Area, Texas",,226,136,90,8452834.28,90882.67302641993,35.6,In-State
"Stockton-Lodi, CA Metro Area, California",,244,154,90,805224.4,93025.68446393317,35.4,In-State
"Laramie, WY Micro Area, Wyoming",,290,201,89,43434.15,61953.14909800763,28.6,In-State
"Dover, DE Metro Area, Delaware",,87,0,87,194566.12,74532.53920559831,38.8,In-State
"Greenwood, MS Micro Area, Mississippi",,87,0,87,37714.77,39587.57884441566,38.3,In-State
"Wisconsin Rapids-Marshfield, WI Micro Area, Wisconsin",,85,0,85,72194.63,66854.52157014016,43.8,In-State
