region_code,region_name,region_basename,state,region_type,total_in,total_out,total_net,total_natural_growth,total_international_migration,avg_seasonal_visitors,latest_adjusted_population,latest_median_hhi,latest_median_age,latest_percent_white,latest_percent_asian,latest_percent_black_or_african_american,latest_percent_hispanic_or_latino,latest_percent_bachelor_and_higher,latest_average_household_value,latest_arealand,latest_population_density,latest_pop_change_forecast,weighted_avg_median_hhi_in,weighted_avg_median_age_in,weighted_avg_percent_white_in,weighted_avg_percent_asian_in,weighted_avg_percent_black_or_african_american_in,weighted_avg_percent_hispanic_or_latino_in,total_gross_migration,calc_net_migration_pct,calc_hhi_ratio,calc_age_diff,calc_white_diff,calc_asian_diff,calc_black_diff,calc_hispanic_diff,calc_pop_change,calc_pop_change_pct
19100,"Dallas-Fort Worth-Arlington, TX Metro Area","Dallas-Fort Worth-Arlington, TX Metro Area, Texas",Texas,cbsa,259521,234899,24622,57040,114526,112296.09,8491440.35,90882.67,35.6,0.42,0.08,0.16,0.3,0.25,204867.77,8645.77,982.15,0.0612,80683.42,37.12,0.52,0.05,0.11,0.26,494420,0.0028996258567605673,0.887775634232577,1.519999999999996,0.10000000000000003,-0.03,-0.05,-0.03999999999999998,196188,0.02365063674042418
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area, Tennessee",Tennessee,cbsa,67253,51195,16057,8537,15185,44101.65,2128409.91,86108.37,36.9,0.68,0.03,0.14,0.1,0.26,266488.29,6301.25,337.78,0.0572,81639.68,38.25,0.58,0.05,0.13,0.18,118448,0.007544129504640391,0.9481038835132984,1.3500000000000014,-0.10000000000000009,0.020000000000000004,-0.010000000000000009,0.07999999999999999,39779,0.019045490426070538
12420,"Austin-Round Rock-San Marcos, TX Metro Area","Austin-Round Rock-San Marcos, TX Metro Area, Texas",Texas,cbsa,133478,119209,14269,17955,31058,77276.96,2585400.61,100501.67,36,0.49,0.07,0.07,0.32,0.32,287170.94,4216.02,613.23,0.0733,81141.31,36.38,0.44,0.06,0.11,0.34,252687,0.005519067313904595,0.8073628030260591,0.38000000000000256,-0.04999999999999999,-0.010000000000000009,0.039999999999999994,0.020000000000000018,63282,0.025090810459544567
19820,"Detroit-Warren-Dearborn, MI Metro Area","Detroit-Warren-Dearborn, MI Metro Area, Michigan",Michigan,cbsa,75704,63140,12564,2452,43954,58062.5,4420300.45,76729.96,40.3,0.63,0.05,0.21,0.05,0.21,153193.74,3843.76,1150,0.0184,79827.53,38.9,0.66,0.04,0.12,0.11,138844,0.002842340728219051,1.0403697590875844,-1.3999999999999986,0.030000000000000027,-0.010000000000000002,-0.09,0.06,58970,0.013521103405498659
14260,"Boise City, ID Metro Area","Boise City, ID Metro Area, Idaho",Idaho,cbsa,30731,18333,12398,3154,4555,12345.01,853633.64,86616.04,37.6,0.77,0.02,0.01,0.15,0.25,272865.05,11764.67,72.56,0.1745,86567.67,38.07,0.58,0.07,0.08,0.22,49064,0.014523795008828378,0.9994415583995759,0.46999999999999886,-0.19000000000000006,0.05,0.07,0.07,20107,0.024122804281336466
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area, Wisconsin",Wisconsin,cbsa,79902,67759,12142,14615,23758,55760.99,3785787.43,99851.25,38,0.71,0.07,0.09,0.07,0.29,220739.74,7029.11,538.59,0.0427,84048.5,38.16,0.57,0.06,0.09,0.22,147661,0.00320725878684636,0.8417370839123196,0.1599999999999966,-0.14,-0.010000000000000009,0,0.15,50515,0.013523779308380994
16700,"Charleston-North Charleston, SC Metro Area","Charleston-North Charleston, SC Metro Area, South Carolina",South Carolina,cbsa,48537,37411,11126,3270,5137,25753.82,917505.4,85118.88,38.2,0.62,0.02,0.23,0.08,0.25,245802.25,2581.02,355.48,0.0379,81670.99,38.68,0.58,0.05,0.15,0.16,85948,0.01212635914731401,0.9594932405125631,0.4799999999999969,-0.040000000000000036,0.030000000000000002,-0.08000000000000002,0.08,19533,0.02175233893602966
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area","Charlotte-Concord-Gastonia, NC-SC Metro Area, North Carolina",North Carolina,cbsa,84972,74877,10095,10678,30089,56616.38,2915654.46,83829.74,37.9,0.57,0.04,0.22,0.13,0.26,229403.6,5727.03,509.1,0.0498,79903.36,39.55,0.61,0.05,0.15,0.15,159849,0.003462344437070228,0.953162445690515,1.6499999999999986,0.040000000000000036,0.010000000000000002,-0.07,0.01999999999999999,50862,0.01775416568919621
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area, South Carolina",South Carolina,cbsa,26994,17606,9388,-1612,1995,19824.6,424551.6,66768.14,48.7,0.76,0.01,0.12,0.07,0.18,170576.5,1133.06,374.7,0.0646,83461.06,40.02,0.63,0.05,0.14,0.13,44600,0.022112742008274143,1.250013254824831,-8.68,-0.13,0.04,0.020000000000000018,0.06,9771,0.023557032320219412
42580,"Seaford, DE Micro Area","Seaford, DE Micro Area, Delaware",Delaware,cbsa,28265,19613,8651,-881,1564,8446.88,279907.49,81936.46,51.9,0.72,0.01,0.1,0.12,0.19,196049.86,936.08,299.02,0.0423,86811.05,40.1,0.6,0.04,0.2,0.11,47878,0.030906639904491304,1.0594923188041074,-11.799999999999997,-0.12,0.03,0.1,-0.009999999999999995,9334,0.034497097258123846
29460,"Lakeland-Winter Haven, FL Metro Area","Lakeland-Winter Haven, FL Metro Area, Florida",Florida,cbsa,53919,45914,8004,1162,9288,20979.27,889147.69,66901.12,39.5,0.51,0.02,0.14,0.29,0.16,137974.02,1798.1,494.49,0.066,78721.41,40.57,0.52,0.04,0.14,0.25,99833,0.009001879091650117,1.17668299125635,1.0700000000000003,0.010000000000000009,0.02,0,-0.03999999999999998,18454,0.0211945948522953
48900,"Wilmington, NC Metro Area","Wilmington, NC Metro Area, North Carolina",North Carolina,cbsa,28283,20874,7409,-1156,1323,21221.99,488517.53,76587.81,45.4,0.77,0.01,0.1,0.07,0.25,237322.3,1913.42,255.31,0.0569,81329.82,38.4,0.6,0.05,0.16,0.13,49157,0.015166293008973495,1.0619159889804919,-7,-0.17000000000000004,0.04,0.06,0.06,7576,0.01575243460468053
26900,"Indianapolis-Carmel-Greenwood, IN Metro Area","Indianapolis-Carmel-Greenwood, IN Metro Area, Indiana",Indiana,cbsa,53504,46203,7301,9379,16302,33359.08,2170092.38,80541.73,36.9,0.67,0.04,0.15,0.09,0.24,159257.32,4080.52,531.82,0.0376,76559.08,37.67,0.64,0.04,0.11,0.16,99707,0.003364372902871536,0.950551720207649,0.7700000000000031,-0.030000000000000027,0,-0.039999999999999994,0.07,32982,0.015432988538476895
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area","Portland-Vancouver-Hillsboro, OR-WA Metro Area, Washington",Washington,cbsa,63161,56090,7072,3691,19410,37552.76,2550320.76,97551.81,39.3,0.68,0.07,0.03,0.14,0.26,296932.03,6825.8,373.63,0.0534,84776.96,38.4,0.58,0.06,0.08,0.21,119251,0.0027729845245034984,0.8690454846506693,-0.8999999999999986,-0.10000000000000009,-0.010000000000000009,0.05,0.06999999999999998,30173,0.011972710679472224
36100,"Ocala, FL Metro Area","Ocala, FL Metro Area, Florida",Florida,cbsa,26723,19689,7034,-2700,3178,7660.7,421951.46,61093.72,47.9,0.65,0.02,0.12,0.17,0.15,135166.6,1579.04,267.22,0.0703,75986.98,42.98,0.58,0.04,0.12,0.21,46412,0.01667016390937479,1.2437772654865344,-4.920000000000002,-0.07000000000000006,0.02,0,0.03999999999999998,7512,0.018125687163090116
16980,"Chicago-Naperville-Elgin, IL-IN Metro Area","Chicago-Naperville-Elgin, IL-IN Metro Area, Illinois",Illinois,cbsa,193460,186513,6947,21147,105268,140674.01,9468812.16,91338.53,38.6,0.49,0.07,0.16,0.24,0.25,178155.23,6882.47,1375.79,0.0101,81413.59,38.6,0.57,0.05,0.12,0.21,379973,0.0007336717512833204,0.8913389562980705,0,0.07999999999999996,-0.020000000000000004,-0.04000000000000001,-0.03,133362,0.014285545711702456
39580,"Raleigh-Cary, NC Metro Area","Raleigh-Cary, NC Metro Area, North Carolina",North Carolina,cbsa,64395,57464,6931,8358,15488,45563.25,1566461.1,100113.66,37.6,0.57,0.07,0.18,0.12,0.31,243682.05,2110.04,742.38,0.0662,80872.09,38.72,0.57,0.05,0.18,0.15,121859,0.004424623120229414,0.8078027513927669,1.1199999999999974,0,-0.020000000000000004,0,0.03,30777,0.020041231136012933
