region_code,region_name,region_basename,state,region_type,total_in,total_out,total_net,total_natural_growth,total_international_migration,avg_seasonal_visitors,latest_adjusted_population,latest_median_hhi,latest_median_age,latest_percent_white,latest_percent_asian,latest_percent_black_or_african_american,latest_percent_hispanic_or_latino,latest_percent_bachelor_and_higher,latest_average_household_value,latest_arealand,latest_population_density,latest_pop_change_forecast,weighted_avg_median_hhi_in,weighted_avg_median_age_in,weighted_avg_percent_white_in,weighted_avg_percent_asian_in,weighted_avg_percent_black_or_african_american_in,weighted_avg_percent_hispanic_or_latino_in,total_gross_migration,calc_net_migration_pct,calc_hhi_ratio,calc_age_diff,calc_white_diff,calc_asian_diff,calc_black_diff,calc_hispanic_diff,calc_pop_change,calc_pop_change_pct
48085,Collin,"Collin County, Texas",Texas,county,99396,84720,14675,7733,21910,26982.5,1227326.37,121672.09,37.3,0.5,0.19,0.11,0.16,0.34,240104.24,839.44,1462.07,0.092,87193.43,36.15,0.45,0.07,0.14,0.29,184116,0.011956884785258871,0.7166263849005963,-1.1499999999999986,-0.04999999999999999,-0.12,0.030000000000000013,0.12999999999999998,44318,0.03746211871687771
48339,Montgomery,"Montgomery County, Texas",Texas,county,66037,51590,14446,4485,7347,14260.56,760508.84,97909.2,37.2,0.59,0.03,0.06,0.28,0.25,215475.96,1040.56,730.87,0.0926,76323.59,35.91,0.4,0.06,0.15,0.35,117627,0.018995176965990297,0.7795344053469949,-1.2900000000000063,-0.18999999999999995,0.03,0.09,0.06999999999999995,26278,0.035789834161692256
04021,Pinal,"Pinal County, Arizona",Arizona,county,65273,52937,12336,1254,3957,12919.73,573427.83,81040.13,40.4,0.55,0.02,0.05,0.3,0.15,187592.75,5366.13,106.86,0.1387,84643.55,38.6,0.56,0.04,0.05,0.27,118210,0.021512733346060308,1.04446463745801,-1.7999999999999972,0.010000000000000009,0.02,0,-0.02999999999999997,17547,0.0315661182271747
48491,Williamson,"Williamson County, Texas",Texas,county,65487,54111,11376,4581,7265,15908.46,716751.09,112491.86,37.3,0.53,0.1,0.07,0.25,0.31,284362.32,1115.73,642.41,0.0959,88752.09,36.29,0.48,0.06,0.09,0.31,119598,0.015871618695410705,0.7889645526351862,-1.009999999999998,-0.050000000000000044,-0.04000000000000001,0.01999999999999999,0.06,23222,0.03348381536526464
47037,Davidson,"Davidson County, Tennessee",Tennessee,county,40484,31077,9406,4966,9852,31979.83,752241.89,78072.57,34.6,0.53,0.03,0.24,0.14,0.3,290279.9,502.75,1496.26,0.0283,89451.99,38.13,0.61,0.05,0.13,0.15,71561,0.012503956672766521,1.1457543923557274,3.530000000000001,0.07999999999999996,0.020000000000000004,-0.10999999999999999,0.009999999999999981,24224,0.03327390759586966
45051,Horry,"Horry County, South Carolina",South Carolina,county,26946,17578,9368,-1612,1995,19910.99,424503.64,66768.14,48.7,0.76,0.01,0.12,0.07,0.18,170576.5,1133.06,374.65,0.0646,85275.58,41,0.67,0.04,0.13,0.11,44524,0.022068126435853413,1.2771896895735002,-7.700000000000003,-0.08999999999999997,0.03,0.010000000000000009,0.039999999999999994,9751,0.02351039887292821
10005,Sussex,"Sussex County, Delaware",Delaware,county,28265,19617,8648,-881,1563,8447.02,279836.73,81936.46,51.9,0.72,0.01,0.1,0.12,0.19,196049.86,936.08,298.95,0.0423,91299.13,40.56,0.63,0.04,0.17,0.1,47882,0.030903734474027052,1.1142674457744453,-11.339999999999996,-0.08999999999999997,0.03,0.07,-0.01999999999999999,9330,0.034490823943640884
16001,Ada,"Ada County, Idaho",Idaho,county,24092,15540,8552,1605,2591,10290.88,540966.87,92348.97,38.4,0.81,0.03,0.01,0.1,0.29,299752.29,1052.12,514.17,0.1802,86877.81,38.08,0.6,0.05,0.07,0.21,39632,0.015808731503280413,0.9407555926178711,-0.3200000000000003,-0.21000000000000008,0.020000000000000004,0.060000000000000005,0.10999999999999999,12748,0.02413393523786835
36061,Manhattan - New York,"New York County, New York",New York,county,77108,68847,8261,3037,35394,71052.53,1792971.32,104969.66,38.9,0.46,0.12,0.12,0.24,0.33,531207.37,22.12,81073.55,0.0023,90041.29,38.36,0.42,0.09,0.17,0.27,145955,0.004607435661603332,0.8577839539539329,-0.5399999999999991,-0.040000000000000036,-0.03,0.05000000000000002,0.030000000000000027,46692,0.02673799057529926
12105,Polk,"Polk County, Florida",Florida,county,53890,45917,7972,1162,9286,20920.88,889150.2,66901.12,39.5,0.51,0.02,0.14,0.29,0.16,137974.02,1798.1,494.5,0.066,78352.86,40.08,0.5,0.04,0.13,0.28,99807,0.00896586426005415,1.1711741148728154,0.5799999999999983,-0.010000000000000009,0.02,-0.010000000000000009,-0.009999999999999953,18420,0.02115465846940878
48121,Denton,"Denton County, Texas",Texas,county,89836,81918,7919,7118,10223,30351.46,1022187.07,112025.44,37,0.52,0.11,0.11,0.2,0.32,243928.27,876.06,1166.8,0.0902,87705.04,36.36,0.47,0.08,0.14,0.27,171754,0.007747114234188073,0.7829028834878934,-0.6400000000000006,-0.050000000000000044,-0.03,0.030000000000000013,0.07,25260,0.02533786147466133
12097,Osceola,"Osceola County, Florida",Florida,county,43004,35252,7752,2319,15990,10200.18,498795.51,72295,37.1,0.27,0.03,0.1,0.56,0.21,177124.5,1327.26,375.81,0.1083,79147.95,38.93,0.46,0.05,0.16,0.28,78256,0.015541439015760185,1.0947914793554188,1.8299999999999983,0.19,0.020000000000000004,0.06,-0.28,26061,0.055128194470084275
27053,Hennepin,"Hennepin County, Minnesota",Minnesota,county,41111,34281,6830,5244,11191,32020.66,1313303.26,98004.66,37.6,0.65,0.07,0.13,0.08,0.34,227623.23,549.11,2391.7,0.0577,89613.25,37.93,0.6,0.08,0.1,0.17,75392,0.0052006267006449065,0.9143774387870944,0.3299999999999983,-0.050000000000000044,0.009999999999999995,-0.03,0.09000000000000001,23265,0.018034348841715748
12083,Marion,"Marion County, Florida",Florida,county,26486,19719,6768,-2699,3178,7661.22,421866.24,61093.72,47.9,0.65,0.02,0.12,0.17,0.15,135166.6,1579.04,267.17,0.0703,75428.01,44,0.62,0.03,0.11,0.2,46205,0.01604299979064454,1.2346278799195727,-3.8999999999999986,-0.030000000000000027,0.009999999999999998,-0.009999999999999995,0.03,7247,0.01747868719261557
37019,Brunswick,"Brunswick County, North Carolina",North Carolina,county,15002,8374,6628,-959,52,4578.47,169203.22,77074.19,56.4,0.81,0.01,0.08,0.06,0.22,217039.2,849.96,199.07,0.0646,80105.66,40.3,0.67,0.03,0.14,0.11,23376,0.03917183136349296,1.0393318437728636,-16.1,-0.14,0.019999999999999997,0.06000000000000001,0.05,5721,0.03499463122044709
26125,Oakland,"Oakland County, Michigan",Michigan,county,45218,39096,6122,1431,20170,30973.79,1327384.3,98104.02,41.3,0.68,0.09,0.13,0.05,0.29,216240.1,855.19,1552.15,0.0405,74946.22,39.23,0.64,0.04,0.18,0.09,84314,0.004612078054561893,0.7639464723260067,-2.0700000000000003,-0.040000000000000036,-0.049999999999999996,0.04999999999999999,0.039999999999999994,27723,0.02133094214623456
45015,Berkeley,"Berkeley County, South Carolina",South Carolina,county,23561,17925,5636,1149,1414,5636.14,280863.97,84172.11,36.9,0.6,0.03,0.23,0.09,0.2,188799.63,1095.22,256.44,0.0433,82315.85,39.12,0.62,0.03,0.17,0.13,41486,0.020066653618831923,0.9779468519917108,2.219999999999999,0.020000000000000018,0,-0.06,0.04000000000000001,8199,0.03006986926116692
06075,San Francisco,"San Francisco County, California",California,county,41257,36073,5184,954,15468,23602.9,898911.12,140566.69,40,0.37,0.35,0.05,0.16,0.35,653232.09,46.48,19339.73,0.0135,123023.19,38.91,0.39,0.21,0.07,0.27,77330,0.005766977273570718,0.8751944717486055,-1.0900000000000034,0.020000000000000018,-0.13999999999999999,0.020000000000000004,0.11000000000000001,21606,0.02462769167470492
48091,Comal,"Comal County, Texas",Texas,county,21983,16848,5136,281,241,4496.18,205927.61,102069.87,41.8,0.64,0.01,0.02,0.28,0.28,257905.6,559.5,368.06,0.0692,82101.93,36.45,0.44,0.04,0.07,0.41,38831,0.024940803226920376,0.8043698889789905,-5.349999999999994,-0.2,0.03,0.05,0.12999999999999995,5658,0.028251915005976194
55025,Dane,"Dane County, Wisconsin",Wisconsin,county,25229,20191,5038,1871,6594,30119.87,601562.5,90404.36,35.7,0.76,0.06,0.05,0.08,0.33,252342.25,1196.37,502.82,0.0344,89648.77,38.57,0.59,0.07,0.11,0.18,45420,0.008374857142857142,0.9916421066417593,2.8699999999999974,-0.17000000000000004,0.010000000000000009,0.06,0.09999999999999999,13503,0.02296196218239821
12101,Pasco,"Pasco County, Florida",Florida,county,43653,38779,4874,-1671,4709,13235.71,645572.62,70936.84,43.4,0.68,0.03,0.06,0.19,0.19,197045.44,746.61,864.68,0.0764,77611.35,41.73,0.58,0.04,0.12,0.21,82432,0.007549886486821576,1.0940908842288437,-1.6700000000000017,-0.10000000000000009,0.010000000000000002,0.06,0.01999999999999999,7912,0.01240785419679829
24510,Baltimore,"Baltimore city, Maryland",Maryland,county,35650,30923,4726,611,4136,20554.84,620856.78,62112.05,36.2,0.26,0.03,0.59,0.08,0.18,110805.08,80.94,7670.28,0.0087,97673.59,38.91,0.5,0.06,0.25,0.14,66573,0.007612061512801712,1.5725385009833035,2.7099999999999937,0.24,0.03,-0.33999999999999997,0.06000000000000001,9473,0.015494359369494557
