ZIP Code,City,State,Net Migration,Population,Seasonal Visitors,Median HHI,Area (sq mi)
83631,Idaho City,Idaho,46,2187,95,80389,346.96
83705,Boise,Idaho,110,27440,1073,64990,7.12
83669,Star,Idaho,836,22980,516,99630,23.94
83628,Homedale,Idaho,-159,5008,138,73462,55.69
83706,Boise,Idaho,1025,36719,3004,82923,7.31
83646,Meridian,Idaho,309,81255,1735,104050,28.07
83703,Boise,Idaho,-173,17214,420,78859,10.61
83714,Garden City,Idaho,310,30537,906,88576,43.07
83709,Boise,Idaho,709,57862,1572,94687,48.78
83629,Horseshoe Bend,Idaho,47,1628,69,77022,341.89
83644,Middleton,Idaho,153,19526,370,98413,49.83
83607,Caldwell,Idaho,511,42097,990,85808,177.84
83704,Boise,Idaho,-58,35858,1150,73056,9.21
83687,Nampa,Idaho,1604,47490,1240,75607,48.76
83660,Parma,Idaho,161,7564,132,65592,107.95
83639,Marsing,Idaho,57,3592,87,69747,94.06
83634,Kuna,Idaho,316,39982,693,95799,409.01
83626,Greenleaf,Idaho,-79,1719,27,68232,17.31
83622,Garden Valley,Idaho,-31,2048,111,67538,607.04
83624,Grand View,Idaho,75,1225,53,59064,745.03
83616,Eagle,Idaho,340,42477,1004,123108,91.51
83702,Boise,Idaho,203,24712,966,84121,15.93
83713,Boise,Idaho,100,28231,779,94582,7.36
83686,Nampa,Idaho,157,62304,1674,86440,82.84
83676,Wilder,Idaho,85,5227,127,69063,42.49
83642,Meridian,Idaho,2417,69751,2055,99036,37.56
83611,Cascade,Idaho,11,2589,251,81135,1062.23
83712,Boise,Idaho,186,9065,300,107072,9.61
83605,Caldwell,Idaho,489,42373,1193,67920,22.59
83641,Melba,Idaho,227,4541,81,83795,1273.85
83604,Bruneau,Idaho,8,579,25,47929,2771.83
83617,Emmett,Idaho,381,19169,339,65763,274.45
83651,Nampa,Idaho,72,38692,889,68715,11.16
